ANPSADPI,TOWNNO,COUSUBFP,TOWNNO_C,TOWN_UC,TOWN_LC,,,
Trumbull town,144,77200,144,TRUMBULL,Trumbull,,,
Union town,145,77830,145,UNION,Union,,,
Vernon town,146,78250,146,VERNON,Vernon,,,
Voluntown town,147,78600,147,VOLUNTOWN,Voluntown,,,
Wallingford town,148,78740,148,WALLINGFORD,Wallingford,,,
Warren town,149,79510,149,WARREN,Warren,,,
Washington town,150,79720,150,WASHINGTON,Washington,,,
Waterbury town,151,80070,151,WATERBURY,Waterbury,,,
Waterford town,152,80280,152,WATERFORD,Waterford,,,
Watertown town,153,80490,153,WATERTOWN,Watertown,,,
West Hartford town,155,82590,155,WEST HARTFORD,West Hartford,,,
West Haven town,156,82870,156,WEST HAVEN,West Haven,,,
Westbrook town,154,81680,154,WESTBROOK,Westbrook,,,
Weston town,157,83430,157,WESTON,Weston,,,
Westport town,158,83500,158,WESTPORT,Westport,,,
Wethersfield town,159,84900,159,WETHERSFIELD,Wethersfield,,,
Willington town,160,85950,160,WILLINGTON,Willington,,,
Wilton town,161,86370,161,WILTON,Wilton,,,
Winchester town,162,86440,162,WINCHESTER,Winchester,,,
Windham town,163,86790,163,WINDHAM,Windham,,,
Windsor Locks town,165,87070,165,WINDSOR LOCKS,Windsor Locks,,,
Windsor town,164,87000,164,WINDSOR,Windsor,,,
Wolcott town,166,87560,166,WOLCOTT,Wolcott,,,
Woodbridge town,167,87700,167,WOODBRIDGE,Woodbridge,,,
Woodbury town,168,87910,168,WOODBURY,Woodbury,,,
Woodstock town,169,88190,169,WOODSTOCK,Woodstock,,,
